Student_id,Assessment 1,Assessment 2,Assessment 3,Assessment 4
8AB972AD9B181B3BDCA4440915E42C89,60.0,90.0,100.0,92.0
7CE31926199B330B6834F93C59DD57A2,60.0,70.0,80.0,96.0
09288DED5A17D48BC2A46F1D447F6D95,No Assessment,No Assessment,No Assessment,No Assessment
5282911CF71133DAF584A5822B90F783,No Assessment,No Assessment,No Assessment,No Assessment
448E72C2BDE43BD976047BFBE164C796,No Assessment,No Assessment,No Assessment,No Assessment
76952146693239EA416486602A23DEE9,No Assessment,No Assessment,No Assessment,No Assessment
4B2DFFF15A4CCFAAEA24ACDA0D2F5460,No Assessment,No Assessment,No Assessment,No Assessment
BE286CFDB72A63689304D2AB95A912B0,100.0,100.0,90.0,84.0
C1DDF20120272F390834FCBEBF55A484,No Assessment,No Assessment,No Assessment,No Assessment
666C3528D65065BB4B241863810229E3,No Assessment,No Assessment,No Assessment,No Assessment
8F349B4E88704D49FBC4F089493DE419,No Assessment,No Assessment,No Assessment,No Assessment
A928A4B54064679ABCE44FD0DD87373E,100.0,80.0,80.0,100.0
C2CF10A875AB4A688C34320FA622A623,No Assessment,No Assessment,No Assessment,No Assessment
B096EED6E44536AB2AA4FB56BBABB3CD,100.0,70.0,60.0,48.0
18AFE2DD92B8C1290324C3C6F6C1B7B5,No Assessment,No Assessment,No Assessment,No Assessment
F9B30609FE2839D93EF47D7C66FD9C7F,100.0,100.0,90.0,92.0
0AF2BBC10B2CDFD91D145BC44BD2F0AF,100.0,90.0,100.0,96.0
FB266EA8D8AD5B5BF1D454591BFCDB49,100.0,90.0,90.0,88.0
95F7D73FE44990997ED4193B03CDD81A,100.0,100.0,30.0,88.0
D391699C6628574BBBE4D7DDE461446E,No Assessment,No Assessment,No Assessment,No Assessment
8AB229EC8E702CAB9DD4F821CF4FFAC0,100.0,100.0,90.0,100.0
0EE7453D6117207B7314585F7BB5992E,No Assessment,No Assessment,No Assessment,No Assessment
8487E9946061BDF866D451644AC3FC16,40.0,100.0,100.0,92.0
931C236099219C287FF459175EEBF081,100.0,90.0,90.0,96.0
DC6956E19D3A0BCA70A456C3D4BB5E21,No Assessment,No Assessment,No Assessment,92.0
400DD933662A077A29345554307E69FE,No Assessment,No Assessment,No Assessment,No Assessment
1C75D24070B9C3A940D4D492F0E3C893,No Assessment,No Assessment,No Assessment,No Assessment
6D8F7B8414770AE836643B7478BF4A81,40.0,90.0,100.0,96.0
F9E52C2010109B99D854625E6B2D1444,No Assessment,No Assessment,No Assessment,No Assessment
F31A25716D5D03A82C944089B6E72E7B,100.0,100.0,70.0,88.0
DB746C77B32A0259F1D402AAE68DE0C3,100.0,90.0,90.0,100.0
84E2D800188EE399BAE4C4155C0A01F9,No Assessment,No Assessment,No Assessment,No Assessment
D8D74D990C55A49BF7145B23D101093E,40.0,80.0,80.0,92.0
9F02C7947B3FF2980D24ED9DA853195F,No Assessment,No Assessment,No Assessment,No Assessment
E2688E71F1864DB8F4841743E51DD21F,No Assessment,No Assessment,No Assessment,No Assessment
C20E4D2C8D4EADEB4F743F3A14EDE533,No Assessment,No Assessment,No Assessment,No Assessment
BA7E890CC773714B1214434C7B12A1B6,No Assessment,No Assessment,No Assessment,No Assessment
A7E699B451FC254B0F04DC2DB2CFCE49,60.0,70.0,60.0,100.0
2908F441512D791828D468F51C24A874,No Assessment,No Assessment,No Assessment,No Assessment
5F59B03089FE6608AC64C082D65C10F3,100.0,100.0,90.0,100.0
4D27C86DD76FB36BE674A37B0B91E330,100.0,100.0,100.0,100.0
E301B6FB2DDE1C48219441EFE1DF28AF,100.0,100.0,90.0,96.0
D22C9063EC3F6C6BEC24D7FEECB4E05B,No Assessment,No Assessment,No Assessment,No Assessment
ED1494B9E219AAFA22E4A5A6F47C168A,100.0,80.0,90.0,96.0
41A944772FDAB86A964450ED6F0C0B05,80.0,100.0,100.0,100.0
DD4D955719B4B549E8A4F6D4855C0583,80.0,40.0,90.0,100.0
DED11DAD39DF152A8FA40473C05107E7,100.0,100.0,100.0,No Assessment
5E7E790189394AA9ACF4BE7516820A22,No Assessment,No Assessment,No Assessment,No Assessment
1F04A35FE226D03BDDB4CB62FEB34F75,No Assessment,No Assessment,No Assessment,No Assessment
8B7D59D88537089A91F40A42022AF5EF,100.0,100.0,80.0,100.0
3B65EC8E9B65995804248A9D5B61EA40,No Assessment,No Assessment,No Assessment,No Assessment
11896FC419B64ACB53F4BA1F11021AE7,No Assessment,No Assessment,No Assessment,No Assessment
EE7F17B0FEE786EB37A456D80ACA69A4,80.0,80.0,20.0,96.0
93B372C814A82F3AE6E4DDD65E7C890C,No Assessment,No Assessment,No Assessment,No Assessment
A71831C43FA9DE286D34E0F5C98182EF,No Assessment,No Assessment,No Assessment,No Assessment
190E2BFF1CB63D785BC4488074D51831,100.0,100.0,100.0,92.0
23602830C9796969AC6492E6E9676B74,No Assessment,No Assessment,No Assessment,No Assessment
207E3943E5983F1961B47E9861242FFC,100.0,100.0,100.0,100.0
9622FFCD5D92CBABDAE43FB8D456BDF2,100.0,90.0,90.0,100.0
5445A6267810AC587484F1C676E577F0,100.0,90.0,70.0,92.0
EA5C44C1F3F1E32930D4B45DBFC4495F,No Assessment,No Assessment,No Assessment,No Assessment
51D1EE6D0B9438880144E76221E536C5,100.0,100.0,100.0,100.0
AEEFC92485AF0B294BE4A43AD3202B0B,100.0,90.0,80.0,100.0
4A025E538BB8D439C9C45953A4FB62F1,No Assessment,No Assessment,No Assessment,No Assessment
01F86DB9712F996A81A488BFBE9AA874,No Assessment,No Assessment,No Assessment,No Assessment
16C44A2EC302901931A44C3C8F62BDAA,100.0,100.0,90.0,100.0
D93A0F632783C14B8A84DDEC6F403584,No Assessment,No Assessment,No Assessment,No Assessment
64E28C6B7683FA897BD4D192F751609B,100.0,100.0,90.0,100.0
A57BA16776BFB388EA2441F40002CA8C,100.0,90.0,100.0,88.0
3AA96B7BC1A6CCBB7724C4078DDC26AA,No Assessment,No Assessment,No Assessment,No Assessment
5DA10681D447CDCA6C340D50F8BDF7C1,No Assessment,No Assessment,No Assessment,No Assessment
CF4B7C6EA0FC3BE9623410A4C979F2B3,100.0,100.0,80.0,100.0
B048EC57DCA2ABC9370465ADBA1C39A8,No Assessment,No Assessment,No Assessment,No Assessment
DD3AD2C1496EF3D946F40B76BFD43FAD,100.0,100.0,100.0,100.0
2C12D874239A801B9D442F010B569608,40.0,70.0,90.0,100.0
89FC7960FCD1C4191324268C10B085CE,100.0,100.0,100.0,100.0
3D1809C5227FFBB851F4B305C09894D6,100.0,100.0,100.0,100.0
9C7836A25050BC4882B467752A6D6F93,100.0,80.0,100.0,96.0
C3480E182ED9C3287A549FB1F2221EFB,No Assessment,No Assessment,No Assessment,No Assessment
92BAD063D5B334A84F24D1F483144563,No Assessment,No Assessment,No Assessment,No Assessment
0538190C1A3AB8B907843D6F236948DD,20.0,90.0,80.0,100.0
502042F9BCF9C428623427E77B7F535A,No Assessment,No Assessment,No Assessment,No Assessment
1C15890203CC0EEA9444E7013222F9C8,60.0,50.0,50.0,100.0
55E234092ECE2728BB44CFD3DBB190E9,No Assessment,No Assessment,No Assessment,No Assessment
8B224AF0E662E4D87004CDECDA1BD2ED,No Assessment,No Assessment,No Assessment,No Assessment
DA808CF7B55D82280CA45452182A9D53,100.0,100.0,No Assessment,88.0
1C9EF70B1A64F5EA3FF4B048CDF0C610,No Assessment,No Assessment,No Assessment,No Assessment
3B61BD32DAA211CB81945276FAC4C655,No Assessment,No Assessment,No Assessment,No Assessment
6D1C76AE57896BA80094745A3A6050A7,No Assessment,No Assessment,No Assessment,No Assessment
8AC717757EBC3BC91524580FFA843CBA,No Assessment,No Assessment,No Assessment,No Assessment
12F8C6249AFE06C812E4E89BA9B9C569,No Assessment,No Assessment,No Assessment,No Assessment
46598C6DC520C61924B4C9F9ECCD038C,60.0,100.0,100.0,88.0
ADF8AFD2C2AA1D4BCCF465B9E42CF875,60.0,100.0,80.0,100.0
6CEB36B0DBACD22B344463A417286C4A,No Assessment,No Assessment,No Assessment,No Assessment
AA2409DA20EF95696304C31163B0C308,No Assessment,No Assessment,No Assessment,No Assessment
773C1A092CFD3CBA7074A69E96C3D23E,No Assessment,No Assessment,No Assessment,No Assessment
C450977FCB74EF9A46F4D37AF813A279,No Assessment,No Assessment,No Assessment,No Assessment
6B4DDEB833DDC8D9B1D4EB6733B5E573,100.0,200.0,40.0,96.0
D4A868818F5D251BD844DDFFDED54EB9,No Assessment,No Assessment,No Assessment,No Assessment
99CD6AAD717FAEE82744C402226D008A,No Assessment,No Assessment,No Assessment,No Assessment
D07F977FD4F54788F514AF7F7F827700,100.0,100.0,80.0,96.0
AD5BC546F1C470A873A42C90C422E2C3,No Assessment,No Assessment,No Assessment,No Assessment
ADD6F0F20860061A02C4A3B56182ED65,No Assessment,No Assessment,No Assessment,No Assessment
CFC8932BEF5751CA7D442206D107F7DC,No Assessment,No Assessment,No Assessment,No Assessment
0A895237AFC18A1A1C644FD2CAF14166,No Assessment,No Assessment,No Assessment,No Assessment
DBA401A4F29FB03B30B4FBDCD8283192,No Assessment,No Assessment,No Assessment,No Assessment
AAFB709A6E17E2AA8CA4AAAB2F9FD648,No Assessment,No Assessment,No Assessment,No Assessment
7CC58B3C727B0B18B42418EE767CC6F8,60.0,100.0,70.0,100.0
AA5E625A23D6A1EB2E54DA69C14A3009,No Assessment,No Assessment,No Assessment,No Assessment
2E0FF467739AE00942043FF708B0DADB,No Assessment,No Assessment,No Assessment,No Assessment
BFFFE9A5F0CBEFBA3384C3108188F07B,100.0,100.0,100.0,92.0
94CDDD8EB634D5E8BD040B4E93A07EB3,No Assessment,No Assessment,No Assessment,No Assessment
5E71EC6E4D83366846D4FC59D144594D,No Assessment,No Assessment,No Assessment,No Assessment
73F6B77F59F04C1B9BF4B358ACBECEEB,No Assessment,No Assessment,No Assessment,No Assessment
6A556222EF5395DB617403808374DB43,No Assessment,No Assessment,No Assessment,No Assessment
97AD25370F0507E8A2B40832DD9DFC8D,No Assessment,No Assessment,No Assessment,No Assessment
49872D02F3DCA0F812E4CC8DD8166787,No Assessment,No Assessment,No Assessment,No Assessment
D1A52B66F974F5D945249220A6476C73,No Assessment,No Assessment,No Assessment,No Assessment
78D33C18E794794824B47DAAC23B1BF7,No Assessment,No Assessment,No Assessment,No Assessment
020B84453DB3AC487D0429028D39BC95,No Assessment,No Assessment,No Assessment,No Assessment
795261D8E3CFA8497814759EC6DD921D,No Assessment,No Assessment,No Assessment,No Assessment
15CD0A89472013A9F8A4CCDF1CEA4328,No Assessment,No Assessment,No Assessment,No Assessment
D0FEF6E613605B18CB143B25D2CA2477,No Assessment,No Assessment,No Assessment,No Assessment
B5F612A9F6C930099D3462F8A0576F2F,No Assessment,No Assessment,No Assessment,No Assessment
0862CF9A0F9150EA0044CA84C732C381,No Assessment,No Assessment,No Assessment,No Assessment
9B996F349E98AC38E824F11581CC4CEA,No Assessment,No Assessment,No Assessment,No Assessment
F35061A0F3247AE923C42B7DA072D834,100.0,100.0,100.0,96.0
3D094D0911EECD0BB024E735CFBE13AE,No Assessment,No Assessment,No Assessment,No Assessment
B7F7B01130EC2C087F7492804CE903D2,No Assessment,No Assessment,No Assessment,No Assessment
D174000AC31C8ADA2304337646DCBF95,No Assessment,No Assessment,No Assessment,No Assessment
3B84AE1828A465CA9214F7A3B7E6C525,100.0,90.0,80.0,96.0
54F9D7466B0565BBE43429BA26B7908C,No Assessment,No Assessment,No Assessment,No Assessment
921705323A3C6DDAB104C51A7D116510,No Assessment,No Assessment,No Assessment,No Assessment
B54CCB39CD033CF8333434DA8F74F9C6,No Assessment,No Assessment,No Assessment,No Assessment
BE9A5B4F1414B3F8B8D4322D2B0CE1F8,80.0,100.0,100.0,96.0
DDE432059C04F1EBD60449BB64CC476B,No Assessment,No Assessment,No Assessment,No Assessment
E8B9727D2F55BDF888C4292A1618CA89,100.0,80.0,70.0,88.0
D490015509381DBA8F44FEE9302E86BB,No Assessment,No Assessment,No Assessment,No Assessment
0AE0E142EF7E7CF9788463AB66083495,No Assessment,No Assessment,No Assessment,No Assessment
072A5DA2D029D6884B6493EE3D5D9EBA,No Assessment,No Assessment,No Assessment,No Assessment
8A48F67B0B756A0AC064BC66755B2FD9,No Assessment,No Assessment,No Assessment,No Assessment
3A6C66D3FA58E258DC8416200FA7376C,100.0,80.0,50.0,92.0
4C991DF8CA74CC498FF46F510346794F,No Assessment,No Assessment,No Assessment,No Assessment
98A228E9E50A6BAA2B24846ECEEA7157,No Assessment,No Assessment,No Assessment,No Assessment
1FB7F5BE30FD6D5BF994B107F6176DFC,No Assessment,No Assessment,No Assessment,No Assessment
366C7BBBB2EBA828D834288693D8A7B1,No Assessment,No Assessment,No Assessment,No Assessment
E08A758AD98ABAE918D4F40FF16F21E7,No Assessment,No Assessment,No Assessment,No Assessment
5302BD18B74FABF906444917B1BD71D2,No Assessment,No Assessment,No Assessment,No Assessment
F56B4C267291A8C84A4437CB9E960E3C,No Assessment,No Assessment,No Assessment,No Assessment
30CE67FFB6E5D4888E14687E1BEFBC73,No Assessment,No Assessment,No Assessment,No Assessment
DA1A97EF26857D481B047C7C7CFF5994,100.0,100.0,80.0,96.0
71AFF8CFD95E7528C654383704E51418,No Assessment,No Assessment,No Assessment,No Assessment
8C7BC86CD8E365A9349443ECF8FDEEB4,No Assessment,No Assessment,No Assessment,No Assessment
D8301F9CAE89E06B1874D412C3B011F3,No Assessment,No Assessment,No Assessment,No Assessment
B42F40EA0FBF288805E43578DBB8F3ED,60.0,100.0,50.0,100.0
1F63A49A9DF6F619C5E46E9F8DA4AF38,No Assessment,No Assessment,No Assessment,No Assessment
054F11A6A82C663A22E4768E4C8473F6,No Assessment,No Assessment,No Assessment,No Assessment
FF7555561508D509A1B4FD7E18031C5F,100.0,100.0,100.0,96.0
F53EF07D51AF7DAB085431034588FCC0,No Assessment,No Assessment,No Assessment,No Assessment
E7B5EBF53C15C5DBCAE4517B03F1CBF8,No Assessment,No Assessment,No Assessment,No Assessment
38E79C577A6D1BFBE1F43C0B90B0067B,No Assessment,No Assessment,No Assessment,No Assessment
8480B05044826D0A1004B85E926B4683,No Assessment,No Assessment,No Assessment,No Assessment
8594A6DAE3CC5ED9F224D94A3A0378EF,40.0,100.0,100.0,84.0
233B8F12B5A38C7BDE1458141B53D20F,No Assessment,No Assessment,No Assessment,No Assessment
809D53065DC4DE8ACED48E6B7B86CF81,100.0,100.0,100.0,96.0
619C5D301EFEA9AACC142E01AF57469D,No Assessment,No Assessment,No Assessment,No Assessment
E3EBD2C0C68420C9C9540568523E282D,No Assessment,No Assessment,No Assessment,No Assessment
944EC2C88F6B7A7ACE8429FE893B7BFD,60.0,80.0,50.0,100.0
F45C14DAB94E00F8EB245B70697C546B,60.0,90.0,90.0,100.0
0B0EA96F67858C7BE064BCC0BAF67C52,No Assessment,No Assessment,No Assessment,No Assessment
A92C963C04DFE62A82B45147E4E64465,80.0,100.0,100.0,88.0
C6AF2F61E34EC7AA0154ECA89A5FF03E,80.0,90.0,60.0,100.0
56DBD1327E880008D344F49796729917,No Assessment,No Assessment,No Assessment,No Assessment
EC98145FCF83C2B955F46876FF867F66,No Assessment,No Assessment,No Assessment,No Assessment
CA2DD0408F4E1F3ABC2460F38B3DD9A5,No Assessment,No Assessment,No Assessment,No Assessment
AFC639CB2DE393789844CAAF020D48F8,No Assessment,No Assessment,No Assessment,No Assessment
0F4E78E9358D3FEAD4440A3CFC82A39B,No Assessment,No Assessment,No Assessment,No Assessment
E3073E6014A4A8FAF104B9290AAA92BD,40.0,100.0,90.0,100.0
6E214F18288C2B0982B44AE5B93BB552,40.0,60.0,50.0,96.0
5AE7CA443140533AD04414AD242D0D8D,No Assessment,No Assessment,No Assessment,No Assessment
CA2282AE4580F85A8B64DCF5AD613862,No Assessment,No Assessment,No Assessment,No Assessment
744611EAE6BA5579CA14E4C8BBADC914,40.0,70.0,70.0,96.0
7C830F5ECE4DC67B7FC48167D81C820A,No Assessment,No Assessment,No Assessment,No Assessment
A3BAA7B59D46BAC898E4A7789278BDCF,60.0,100.0,100.0,88.0
3A7B4F36976F496B55A4E374EF0D2B70,100.0,100.0,80.0,100.0
53290E51348D7D09A5D4B692BF574FEC,No Assessment,No Assessment,No Assessment,No Assessment
2F55940B6CCB5E1997C4497656F7247D,40.0,100.0,60.0,96.0
FDB68EA01F19ABDB5F645BED27CE4A10,No Assessment,No Assessment,No Assessment,No Assessment
73F2FEC692B8A0D83B04DBF487FC1BCC,No Assessment,No Assessment,No Assessment,No Assessment
9D663BA78BC53028BDB4E23CDF0EBD9A,No Assessment,No Assessment,No Assessment,No Assessment
D10471347A2DEA7B4224CF21EAB34DEA,No Assessment,No Assessment,No Assessment,No Assessment
6F1C3E7FCBEECF5BBD34255DC0CF935F,No Assessment,No Assessment,No Assessment,No Assessment
CF208A54E067C4AB2BA49C5ACF2CAE95,No Assessment,No Assessment,No Assessment,No Assessment
32439847A3893878B934AE49EA2F501B,100.0,90.0,90.0,92.0
81DCC902FE619B5908D4118EECEB87D5,No Assessment,No Assessment,No Assessment,No Assessment
CB6CCFB9E096BFE891F4A799C7431B36,100.0,70.0,100.0,96.0
F9F85A7247B3B0489A44CC75ADC8739B,No Assessment,No Assessment,No Assessment,No Assessment
DA9901B9BECD780B1DA490188280C579,No Assessment,No Assessment,No Assessment,No Assessment
15F40F9F408476D9E2647FA4A0954852,No Assessment,No Assessment,No Assessment,No Assessment
AACEFC93D524A858EB44288D9B87D6B6,No Assessment,No Assessment,No Assessment,No Assessment
E64BE4527E7E96A84CC4DBF5B0C43772,100.0,100.0,70.0,92.0
3E808C360DDA9D89155490ABE68E2D80,No Assessment,No Assessment,No Assessment,No Assessment
19DB4D3A9F03A24A7974EDFC52064DB1,No Assessment,No Assessment,No Assessment,No Assessment
280277786F675F9BE904525EBCD788AA,No Assessment,No Assessment,No Assessment,No Assessment
8AEF1E7D088499EBDEC4CAE683B7F24C,No Assessment,No Assessment,No Assessment,No Assessment
55DFFB02AC6FE2C95214C8873006FF60,No Assessment,No Assessment,No Assessment,No Assessment
9B047CA9ABB6A11BE874A28CAB1ECCEF,No Assessment,No Assessment,No Assessment,No Assessment
68DADC7E5AC11B183D44EB3406AB36FA,100.0,100.0,100.0,96.0
87391A08F9A3C05A1F44591BB2A2ECD5,No Assessment,No Assessment,No Assessment,No Assessment
C340BF1F30C3B648B764AB043A94BD0A,100.0,80.0,90.0,100.0
A5695A3AE2BF9458D7C4209F7C1D6B13,No Assessment,No Assessment,No Assessment,No Assessment
638493CA63FE67D8D0247C3253787EFF,No Assessment,No Assessment,No Assessment,No Assessment
3121DFEDB18444D980A41A8F45D97F43,100.0,100.0,60.0,100.0
9F35E4BA5B29FCFBA59418E691075F6E,No Assessment,No Assessment,No Assessment,No Assessment
724EC28F38BCB49ABB540D485998A17D,No Assessment,No Assessment,No Assessment,No Assessment
4774D7E648DD1CFBCF94F1C75E4803F8,No Assessment,No Assessment,No Assessment,No Assessment
A37D24F79FDD7B298534FAC1727AE94C,60.0,90.0,100.0,92.0
419A07AD8EB0CF2A19642CCB70F81353,No Assessment,No Assessment,No Assessment,No Assessment
349360A653D64A9911D41E52C2EEE229,No Assessment,No Assessment,No Assessment,No Assessment
CB60FC6E802D5339BE943364088E50A4,No Assessment,No Assessment,No Assessment,No Assessment
084079A6C59104A9F354A158AE09F3B6,No Assessment,No Assessment,No Assessment,No Assessment
234CFE2F37CAFFA9444417455B2360BB,No Assessment,No Assessment,No Assessment,No Assessment
33782F2588E2B14A89E4555DDE5F5CAE,No Assessment,No Assessment,No Assessment,No Assessment
8290CD6B77BAB53B3DA4882891DBF3AB,No Assessment,No Assessment,No Assessment,No Assessment
C600FD94625DB4B84274CB04B15DC409,No Assessment,No Assessment,No Assessment,No Assessment
5C806269B4FE5EBAD4D4527735DBE80E,No Assessment,No Assessment,No Assessment,No Assessment
681D6105625AD44AA484B72164C63CCC,No Assessment,No Assessment,No Assessment,No Assessment
6D855E43B4014BA948648CFA021B594D,No Assessment,No Assessment,No Assessment,No Assessment
E7DDA2E5983CD888BA1427355C7E56D2,No Assessment,No Assessment,No Assessment,No Assessment
